"Date"	"Time"	"Open"	"High"	"Low"	"Close"	"Volume"
12/27/2005	14:15	1264.50	1266.75	1264.25	1266.50	18983
12/27/2005	14:30	1266.50	1267.75	1266.00	1267.50	14627
12/27/2005	14:45	1267.75	1268.00	1266.00	1266.25	17521
12/27/2005	15:00	1266.25	1266.75	1265.25	1266.00	10370
12/27/2005	15:15	1265.75	1266.25	1264.75	1266.00	14496
12/27/2005	15:30	1266.00	1267.25	1265.25	1266.75	15824
12/27/2005	15:45	1266.75	1266.75	1264.75	1265.25	13324
12/27/2005	16:00	1265.25	1265.50	1263.50	1263.75	31660
12/27/2005	16:15	1263.75	1264.50	1262.50	1263.75	42764
12/27/2005	16:45	1263.50	1264.00	1263.25	1263.75	1520
12/27/2005	17:00	1263.75	1263.75	1263.25	1263.50	442
12/27/2005	17:15	1263.25	1263.50	1263.00	1263.50	256
12/27/2005	17:30	1263.50	1263.75	1263.50	1263.50	297
12/27/2005	18:15	1263.50	1264.00	1263.50	1264.00	162
12/27/2005	18:30	1264.00	1264.00	1263.75	1264.00	95
12/27/2005	18:45	1264.00	1264.25	1264.00	1264.25	89
12/27/2005	19:00	1264.25	1264.25	1263.50	1263.75	218
12/27/2005	19:15	1263.75	1263.75	1263.50	1263.75	363
12/27/2005	19:30	1263.75	1264.00	1263.50	1264.00	444
12/27/2005	19:45	1264.00	1264.25	1264.00	1264.25	121
12/27/2005	20:00	1264.00	1264.00	1264.00	1264.00	101
12/27/2005	20:15	1264.00	1264.25	1264.00	1264.25	23
12/27/2005	20:30	1264.25	1264.25	1264.00	1264.25	208
12/27/2005	20:45	1264.25	1264.50	1264.00	1264.00	121
12/27/2005	21:00	1264.00	1264.00	1263.75	1264.00	21
12/27/2005	21:15	1264.00	1264.00	1263.75	1264.00	172
12/27/2005	21:30	1264.00	1264.25	1264.00	1264.25	40
12/27/2005	21:45	1264.25	1264.25	1264.00	1264.25	91
12/27/2005	22:00	1264.25	1264.50	1264.25	1264.50	18
12/27/2005	22:15	1264.25	1264.50	1264.25	1264.25	32
12/27/2005	22:30	1264.50	1264.75	1264.50	1264.50	261
12/27/2005	22:45	1264.50	1265.00	1264.50	1264.75	161
12/27/2005	23:00	1264.75	1265.00	1264.75	1264.75	204
12/27/2005	23:15	1264.75	1265.00	1264.75	1265.00	24
12/27/2005	23:30	1265.00	1265.00	1264.75	1264.75	193
12/27/2005	23:45	1264.75	1264.75	1264.50	1264.75	123
12/28/2005	00:00	1264.75	1264.75	1264.50	1264.50	12
12/28/2005	00:15	1264.50	1264.50	1264.50	1264.50	29
12/28/2005	00:30	1264.75	1264.75	1264.75	1264.75	32
12/28/2005	00:45	1264.75	1265.00	1264.75	1264.75	45
12/28/2005	01:00	1265.00	1265.25	1264.75	1265.00	90
12/28/2005	01:15	1265.25	1265.50	1265.25	1265.25	231
12/28/2005	01:30	1265.25	1265.25	1265.25	1265.25	64
12/28/2005	01:45	1265.25	1265.75	1265.25	1265.25	167
12/28/2005	02:00	1265.50	1265.75	1265.50	1265.50	112
12/28/2005	02:15	1265.50	1265.75	1265.25	1265.75	115
12/28/2005	02:30	1265.50	1265.75	1265.50	1265.50	178
12/28/2005	02:45	1265.25	1265.75	1265.00	1265.75	486
12/28/2005	03:00	1265.75	1266.00	1265.75	1266.00	567
12/28/2005	03:15	1266.00	1266.75	1265.75	1266.50	2691
12/28/2005	03:30	1266.25	1266.75	1266.25	1266.50	1014
12/28/2005	03:45	1266.25	1266.50	1266.00	1266.00	518
12/28/2005	04:00	1266.00	1266.00	1265.50	1266.00	479
12/28/2005	04:15	1266.00	1266.25	1265.75	1266.25	434
12/28/2005	04:30	1266.00	1266.50	1266.00	1266.50	320
12/28/2005	04:45	1266.50	1267.00	1266.25	1267.00	926
12/28/2005	05:00	1267.00	1267.00	1266.50	1266.75	701
12/28/2005	05:15	1266.50	1267.00	1266.50	1267.00	520
12/28/2005	05:30	1267.00	1267.25	1266.75	1267.00	341
12/28/2005	05:45	1267.00	1267.25	1266.75	1267.00	334
12/28/2005	06:00	1266.75	1266.75	1266.50	1266.75	624
12/28/2005	06:15	1267.00	1267.25	1266.75	1266.75	538
12/28/2005	06:30	1267.00	1267.50	1267.00	1267.25	615
12/28/2005	06:45	1267.00	1267.50	1267.00	1267.25	286
12/28/2005	07:00	1267.50	1267.50	1267.00	1267.50	615
12/28/2005	07:15	1267.50	1267.75	1267.25	1267.50	936
